holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,date_time,traffic_volume
None,288.28,0.0,0.0,40,Clouds,2012-10-02 09:00:00,5545
None,289.36,0.0,0.0,75,Clouds,2012-10-02 10:00:00,4516
None,289.58,0.0,0.0,90,Clouds,2012-10-02 11:00:00,4767
None,290.13,0.0,0.0,90,Clouds,2012-10-02 12:00:00,5026
None,291.14,0.0,0.0,75,Clouds,2012-10-02 13:00:00,4918
None,291.72,0.0,0.0,1,Clear,2012-10-02 14:00:00,5181
None,293.17,0.0,0.0,1,Clear,2012-10-02 15:00:00,5584
None,293.86,0.0,0.0,1,Clear,2012-10-02 16:00:00,6015
None,294.14,0.0,0.0,20,Clouds,2012-10-02 17:00:00,5791
None,293.10,0.0,0.0,20,Clouds,2012-10-02 18:00:00,4770
None,292.65,0.0,0.0,20,Clouds,2012-10-02 19:00:00,3539
None,291.89,0.0,0.0,20,Clouds,2012-10-02 20:00:00,2784
None,290.61,0.0,0.0,1,Clear,2012-10-02 21:00:00,2158
None,289.45,0.0,0.0,1,Clear,2012-10-02 22:00:00,1739
None,288.80,0.0,0.0,1,Clear,2012-10-02 23:00:00,1317
None,287.90,0.0,0.0,1,Clear,2012-10-03 00:00:00,900
None,287.20,0.0,0.0,1,Clear,2012-10-03 01:00:00,650
None,286.70,0.0,0.0,1,Clear,2012-10-03 02:00:00,480
None,286.10,0.0,0.0,1,Clear,2012-10-03 03:00:00,420
None,285.90,0.0,0.0,1,Clear,2012-10-03 04:00:00,500
None,286.50,0.0,0.0,20,Clouds,2012-10-03 05:00:00,1200
None,287.80,0.0,0.0,40,Clouds,2012-10-03 06:00:00,2500
None,289.20,0.0,0.0,75,Clouds,2012-10-03 07:00:00,4200
None,290.50,0.0,0.0,90,Clouds,2012-10-03 08:00:00,5800
None,291.60,0.0,0.0,75,Clouds,2012-10-03 09:00:00,6100
None,292.80,0.0,0.0,40,Clouds,2012-10-03 10:00:00,5900
None,293.50,0.0,0.0,20,Clouds,2012-10-03 11:00:00,5600
None,294.20,0.0,0.0,20,Clouds,2012-10-03 12:00:00,5400
None,295.00,0.0,0.0,1,Clear,2012-10-03 13:00:00,5300
None,295.60,0.0,0.0,1,Clear,2012-10-03 14:00:00,5500
None,296.20,0.0,0.0,1,Clear,2012-10-03 15:00:00,6000
None,296.80,0.0,0.0,1,Clear,2012-10-03 16:00:00,6500
None,297.10,0.0,0.0,20,Clouds,2012-10-03 17:00:00,6200
None,296.50,0.0,0.0,40,Clouds,2012-10-03 18:00:00,5000
None,295.20,0.0,0.0,75,Clouds,2012-10-03 19:00:00,4000
None,294.00,0.0,0.0,90,Clouds,2012-10-03 20:00:00,3000
None,293.10,0.0,0.0,90,Clouds,2012-10-03 21:00:00,2200
None,292.30,0.0,0.0,75,Clouds,2012-10-03 22:00:00,1800
None,291.40,0.0,0.0,40,Clouds,2012-10-03 23:00:00,1400